,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HTGS,ATGS,HTGC,ATGC,HHGS,AHGS,HHGC,AHGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW
30,2024-09-14,PSG,Brest,3.0,1.0,H,1.0,1.0,D,13.0,5.0,2.0,7.0,5.0,3.0,0.0,5.0,9,3,W,W,W,L,W,L,M,M,M,M,4
31,2024-09-15,Stade Rennais,Montpellier,3.0,0.0,H,2.0,0.0,H,5.0,2.0,5.0,10.0,3.0,1.0,2.0,4.0,3,1,L,L,L,L,W,D,M,M,M,M,4
32,2024-09-15,Nantes,Stade de Reims,1.0,2.0,A,1.0,1.0,D,5.0,4.0,1.0,5.0,3.0,1.0,1.0,3.0,7,4,W,W,W,D,D,L,M,M,M,M,4
33,2024-09-15,Toulouse,Le Havre,2.0,0.0,H,0.0,0.0,D,2.0,6.0,4.0,5.0,0.0,1.0,2.0,2.0,2,6,L,W,D,W,D,L,M,M,M,M,4
34,2024-09-15,Strasbourg,Angers SCO,1.0,1.0,D,1.0,0.0,H,7.0,1.0,6.0,7.0,2.0,0.0,1.0,4.0,4,0,L,L,W,L,D,L,M,M,M,M,4
35,2024-09-15,RC Lens,Olympique Lyon,0.0,0.0,D,0.0,0.0,D,4.0,4.0,1.0,8.0,3.0,1.0,0.0,3.0,7,3,D,W,W,L,W,L,M,M,M,M,4
36,2024-09-20,Nice,Saint-Étienne,8.0,0.0,H,6.0,0.0,H,6.0,1.0,6.0,7.0,3.0,1.0,2.0,3.0,4,3,L,W,W,L,D,L,M,M,M,M,5
37,2024-09-21,Lille,Strasbourg,3.0,3.0,D,2.0,2.0,D,5.0,8.0,4.0,7.0,2.0,3.0,3.0,1.0,6,5,L,D,L,L,W,W,M,M,M,M,5
38,2024-09-21,Stade Rennais,RC Lens,1.0,1.0,D,1.0,0.0,H,8.0,4.0,5.0,1.0,5.0,3.0,2.0,0.0,6,8,W,D,L,D,L,W,M,M,M,M,5
39,2024-09-21,Stade de Reims,PSG,1.0,1.0,D,1.0,0.0,H,6.0,16.0,6.0,3.0,2.0,6.0,4.0,1.0,7,12,W,W,W,W,D,W,M,M,M,M,5
40,2024-09-22,Monaco,Le Havre,3.0,1.0,H,1.0,1.0,D,7.0,6.0,1.0,7.0,3.0,1.0,0.0,2.0,10,6,W,L,D,W,W,W,W,L,M,M,5
41,2024-09-22,Brest,Toulouse,2.0,0.0,H,1.0,0.0,H,6.0,4.0,10.0,4.0,4.0,0.0,6.0,2.0,3,5,L,W,W,L,L,D,L,D,M,M,5
42,2024-09-22,Angers SCO,Nantes,1.0,1.0,D,1.0,1.0,D,2.0,6.0,8.0,3.0,0.0,4.0,5.0,2.0,1,7,D,L,L,W,L,W,L,D,M,M,5
