,FTHG,FTAG,HTGS,ATGS,HTGC,ATGC,HTHG,HTAG,HHGS,AHGS,HHGC,AHGC,HTP,ATP,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,HHGD,AHGD,DiffPts,DiffFormPts
mean,-0.003089160248757891,-0.0019449584688180136,-0.0027126488408040538,-0.0025437905070567163,-0.002387226483515847,-0.0023761501287059388,-0.0036282227690813294,-0.003068303184378164,-0.004562091420517537,-0.004812157990713455,-0.0043548781411676665,-0.004630547180390809,-6.363571446067585e-05,-0.0004705790324342501,-0.0008968300887023365,-0.0005903825866823664,0.0003653271420439859,-0.0027614740704722156,-0.00279975883283904,0.0014834350288825857,-0.0018177639894234267,-0.0031724698644062348,-0.0024719114401033676,5.068776188642166e-05,0.0002067837035979454,-0.0002264981681748853,-9.73011239097098e-05,7.464380413476597e-05,0.00031821074600228195,0.0006827386345616976
std,0.9961063266839251,0.9986666554486932,0.9957146991564682,0.9961272577850225,1.0002544730038796,1.0000306979430047,0.9954634936206942,0.9986964664844229,0.9952249970568869,0.9950038206744771,0.9976210435038688,0.9972902383005121,0.9991289745208178,0.9989798618562934,0.9993918040723145,0.9976988049382642,1.0006601890328402,0.9905747540680913,0.9947504041818335,1.0060238067436975,0.9968265343501023,0.9888592520831967,0.9950826438233248,1.0002417204357044,0.9960864650417892,0.9964326239019585,0.9942226523497636,0.9937607312676742,0.9991993261945081,1.0017452174087487
