,FTHG,FTAG,HTHG,HTAG,HTGS,ATGS,HTGC,ATGC,HHGS,AHGS,HHGC,AHGC,HTP,ATP,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,HHGD,AHGD,DiffPts,DiffFormPts
mean,1.4223687201636737,1.044669243009775,0.6310105717858361,0.4558372172331477,19.070697885883156,19.22164128210957,22.12730165946806,21.974426005910434,9.736040031843512,9.80689184578642,9.80131923120664,9.736722392812466,1.2078647351309637,1.229035657395749,6.115935439872699,6.369629461241191,0.04591952716526483,0.010684246419640827,0.050807001591270745,0.009888611047965446,0.05410320527392589,0.011593543987269835,0.04273698567856331,0.009092975676290065,-0.09203050145605092,-0.06343066500843429,-0.005278239686071916,0.006356827762475609,-0.021170922264785466,-0.02404972165096266
std,1.214000965654169,1.067586725790035,0.7764624108275213,0.680158570269445,14.592377761618453,14.544965200141394,14.832655303371835,14.816246795745823,7.136065536291585,7.150972400236235,6.831155516424693,6.819261798577327,0.49706363957873084,0.4944006847346751,3.4111284697397197,3.428680449387287,0.20931059263730434,0.10281095903689444,0.21960339291681558,0.09894860493967063,0.22622123784697307,0.10704734338173233,0.20226353040939807,0.09492256565033376,0.6494542053194332,0.6497976162036044,0.3240568382727935,0.3255326161666969,0.6124147932814105,0.4036802530558823
