,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTGS,ATGS,HTGC,ATGC,HHGS,AHGS,HHGC,AHGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW
31,2024-08-31,Espanyol,Rayo Vallecano,2.0,1.0,H,1.0,1.0,0.0,3.0,2.0,3.0,0.0,1.0,1.0,0.0,1,4,D,L,L,D,L,W,M,M,M,M,4
32,2024-08-31,Leganés,Mallorca,0.0,1.0,A,0.0,1.0,3.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,5,2,D,D,W,L,D,D,M,M,M,M,4
33,2024-08-31,Valencia,Villarreal,1.0,1.0,D,1.0,1.0,2.0,8.0,6.0,6.0,2.0,4.0,4.0,5.0,0,7,L,W,L,W,L,D,M,M,M,M,4
34,2024-09-01,Osasuna,Celta,3.0,2.0,H,2.0,1.0,2.0,8.0,5.0,6.0,0.0,4.0,2.0,3.0,4,6,L,L,W,W,D,W,M,M,M,M,4
35,2024-09-01,Alavés,Las Palmas,2.0,0.0,H,1.0,0.0,3.0,4.0,3.0,5.0,2.0,2.0,1.0,1.0,4,2,W,D,D,L,L,D,M,M,M,M,4
36,2024-09-01,Sevilla FC,Girona,0.0,2.0,A,0.0,1.0,3.0,5.0,4.0,4.0,2.0,1.0,2.0,2.0,2,4,D,W,L,L,D,D,M,M,M,M,4
37,2024-09-01,Getafe,Real Sociedad,0.0,0.0,D,0.0,0.0,1.0,3.0,1.0,4.0,0.0,1.0,1.0,1.0,3,3,D,L,D,W,D,L,M,M,M,M,4
38,2024-09-01,Real Madrid,Real Betis,2.0,0.0,H,0.0,0.0,5.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,5,2,D,L,W,D,D,D,M,M,M,M,4
39,2024-09-13,Real Betis,Leganés,2.0,0.0,H,0.0,0.0,1.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,2,5,L,D,D,W,D,D,M,M,M,M,4
40,2024-09-14,Mallorca,Villarreal,1.0,2.0,A,0.0,1.0,2.0,9.0,2.0,7.0,1.0,5.0,1.0,6.0,5,8,W,D,D,W,L,W,D,D,M,M,5
41,2024-09-14,Espanyol,Alavés,3.0,2.0,H,1.0,1.0,2.0,5.0,3.0,3.0,1.0,3.0,2.0,1.0,4,7,W,W,D,W,L,D,L,L,M,M,5
42,2024-09-14,Sevilla FC,Getafe,1.0,0.0,H,1.0,0.0,3.0,1.0,6.0,2.0,2.0,0.0,3.0,2.0,2,3,L,L,D,D,L,D,D,D,M,M,5
43,2024-09-14,Real Sociedad,Real Madrid,0.0,2.0,A,0.0,0.0,3.0,7.0,4.0,2.0,1.0,1.0,1.0,1.0,4,8,D,W,L,D,W,W,L,D,M,M,5
44,2024-09-15,Celta,Valladolid,3.0,1.0,H,2.0,0.0,10.0,1.0,9.0,10.0,5.0,1.0,5.0,3.0,6,4,L,L,L,D,W,L,W,W,M,M,5
