,HTP,HTFormPts,Prob_H,B365H,B365D,B365A,ATP,ATFormPts,Delta_Prob_HD,Delta_Prob_HA,DiffFormPts,DiffPts,Odds_HD_Diff,Odds_HA_Diff,Strength_Index_Away,Away_GD_Last5_Avg,ATWinStreak5,ATGD,AHGD,Prob_D
mean,1.2048988795500353,6.279698392374449,0.44859504011119183,2.5308291328492096,3.8640839315035074e-14,4.212783710664958,1.209495568312685,6.124626547161759,0.19706049529937447,0.1487246250342011,0.009042119425606291,-0.004596688762649972,-1.3628781147657696,-1.6819545778157485,0.19005406174420264,-0.014599502123297704,0.013373168302745767,0.0204846524338718,0.005639810161425085,0.2515345448118173
std,0.499234375005487,3.6313260784661003,0.16031431267697355,1.6516100967377298,1.0000000000000093,3.1802473599573866,0.49910990000826605,3.5693807636747095,0.18298612370817022,0.30416778849957116,0.4348123902992284,0.6337573767064641,1.8923490260749611,4.190002134261991,0.31948110882415304,1.0594040323352272,0.11486656028754938,2.94214628554554,1.4095275896050694,0.04195955753524361
