,HTP,HTFormPts,Prob_H,B365H,B365D,B365A,ATP,ATFormPts,Delta_Prob_HD,Delta_Prob_HA,DiffFormPts,DiffPts,Odds_HD_Diff,Odds_HA_Diff,Strength_Index_Away,Away_GD_Last5_Avg,ATWinStreak5,ATGD,AHGD,Prob_D
mean,1.1959092243533551,6.126370387834492,0.4447218883856067,2.441246845146833,-1.2095083471456253e-14,4.252279749970516,1.2162395249820912,6.373334905104326,0.1696099209934192,0.16455574416340082,-0.02268848464942883,-0.020330300628736073,-1.0836459488147188,-1.811032904823682,0.1946716963338442,-0.00016144004520321205,0.012024048096192385,0.014679139517246602,0.006317253778939507,0.2751119673921874
std,0.49502540452466043,3.4325231433424754,0.14424420418481385,1.3562970285501024,1.0000000000000075,2.728739287400148,0.49121712672483675,3.4482867005037723,0.16842260032618764,0.2708589865883736,0.4031273960392752,0.6130372629388777,1.580659813373327,3.6036276910411043,0.2821183844088172,0.9343027183139944,0.10899298309327478,0.602898932305692,0.3300277976702951,0.04186722095501492
