,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HTGS,ATGS,HTGC,ATGC,HHGS,AHGS,HHGC,AHGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,HHGD,AHGD,DiffPts,DiffFormPts
10,2024-08-24,Lyon,Monaco,-1.173192079243516,0.48800613463342474,2,-0.8110365095235971,-0.8033241300464922,0,-1.4208669299440606,-1.3332608059888562,-1.2484361655954752,-1.4610900363314847,-1.3979642204802138,-1.2306256847747716,-1.0942450306171516,-1.386588066485213,-2.085886190970475,0.5266455860495524,L,W,M,M,M,M,M,M,M,M,-1.6056913974544889,-0.8750009654613112,-0.23807595834800252,-0.12475657231036107,-0.30339777389595485,-0.15339299776947407,-0.2289527349448127,-0.10783277320343843,-0.2721655269759087,-0.15339299776947407,-1.6746339241133714,0.558352223046255,-2.025408326763958,1.0161305091635622,-2.121492517644693,-3.2166527788966763
11,2024-08-24,Lille,Angers,0.32048173872018004,-1.1345365550394908,1,0.4125503632258759,-0.8033241300464922,1,-1.2824656354057513,-1.4002188722507558,-1.458205589986303,-1.3904314297940532,-1.249038236175995,-1.3753725544125435,-1.3873163010030691,-1.2398323952148804,0.5637533696073959,-2.180198879738905,W,L,M,M,M,M,M,M,M,M,-0.811467541354132,-1.697480864568402,-0.23807595834800252,-0.12475657231036107,-0.30339777389595485,-0.15339299776947407,-0.2289527349448127,-0.10783277320343843,-0.2721655269759087,-0.15339299776947407,1.1502200081005596,-0.5952098068284402,1.029815793290455,-1.0384090473090193,2.2001698862335046,3.311616242170263
12,2024-08-24,St Etienne,Le Havre,-1.173192079243516,0.48800613463342474,2,-0.8110365095235971,-0.8033241300464922,0,-1.4208669299440606,-1.3332608059888562,-1.3882824485226937,-1.178455610181759,-1.3979642204802138,-1.3753725544125435,-1.2407806658101104,-1.2398323952148804,-2.085886190970475,-2.180198879738905,L,L,M,M,M,M,M,M,M,M,-1.6056913974544889,-1.697480864568402,-0.23807595834800252,-0.12475657231036107,-0.30339777389595485,-0.15339299776947407,-0.2289527349448127,-0.10783277320343843,-0.2721655269759087,-0.15339299776947407,-0.5446923512277991,-1.748771836703135,-1.0070002867458205,-1.0384090473090193,0.03933868429440588,0.04748173163679326
13,2024-08-25,Lens,Brest,0.32048173872018004,-1.1345365550394908,1,1.636137235975349,-0.8033241300464922,1,-1.351666282674906,-1.3332608059888562,-1.458205589986303,-1.1077970036443274,-1.249038236175995,-1.2306256847747716,-1.3873163010030691,-0.9463210526742148,0.5637533696073959,-2.180198879738905,W,L,M,M,M,M,M,M,M,M,-0.811467541354132,-1.697480864568402,-0.23807595834800252,-0.12475657231036107,-0.30339777389595485,-0.15339299776947407,-0.2289527349448127,-0.10783277320343843,-0.2721655269759087,-0.15339299776947407,0.5852492216577734,-2.3255528516404826,1.029815793290455,-2.06567882554531,2.2001698862335046,3.311616242170263
14,2024-08-25,Nantes,Auxerre,0.32048173872018004,-1.1345365550394908,1,0.4125503632258759,-0.8033241300464922,1,-1.4208669299440606,-1.2663027397269568,-1.458205589986303,-1.3904314297940532,-1.3979642204802138,-1.2306256847747716,-1.3873163010030691,-1.2398323952148804,-1.2026730041111846,0.5266455860495524,D,W,M,M,M,M,M,M,M,M,-1.3409501120877032,-0.8750009654613112,-0.23807595834800252,-0.12475657231036107,-0.30339777389595485,-0.15339299776947407,-0.2289527349448127,-0.10783277320343843,-0.2721655269759087,-0.15339299776947407,0.02027843521498709,0.558352223046255,0.011407753272317276,-0.011139269072728516,-1.40121545033166,-2.1286079420521866
15,2024-08-25,Nice,Toulouse,-0.426355170261668,-0.323265210203033,0,-0.8110365095235971,-0.8033241300464922,0,-1.351666282674906,-1.4002188722507558,-1.3183593070590844,-1.4610900363314847,-1.249038236175995,-1.3753725544125435,-1.2407806658101104,-1.386588066485213,-2.085886190970475,-1.2779173911427526,L,D,M,M,M,M,M,M,M,M,-1.6056913974544889,-1.4233208981993717,-0.23807595834800252,-0.12475657231036107,-0.30339777389595485,-0.15339299776947407,-0.2289527349448127,-0.10783277320343843,-0.2721655269759087,-0.15339299776947407,-0.5446923512277991,-0.018428791891092557,0.011407753272317276,-0.011139269072728516,-0.6809383830186271,-1.0405631052076967
16,2024-08-25,Strasbourg,Rennes,1.0673186477020282,-0.323265210203033,1,0.4125503632258759,-0.8033241300464922,1,-1.351666282674906,-1.1993446734650572,-1.3882824485226937,-1.4610900363314847,-1.3979642204802138,-1.085878815137,-1.3873163010030691,-1.386588066485213,-1.2026730041111846,0.5266455860495524,D,W,M,M,M,M,M,M,M,M,-1.3409501120877032,-0.8750009654613112,-0.23807595834800252,-0.12475657231036107,-0.30339777389595485,-0.15339299776947407,-0.2289527349448127,-0.10783277320343843,-0.2721655269759087,-0.15339299776947407,0.02027843521498709,1.71191425292095,0.011407753272317276,2.043400287399853,-1.40121545033166,-2.1286079420521866
17,2024-08-25,Marseille,Reims,0.32048173872018004,0.48800613463342474,0,0.4125503632258759,-0.8033241300464922,1,-1.0748636935982874,-1.4002188722507558,-1.3882824485226937,-1.3197728232566217,-0.9511862675675578,-1.3753725544125435,-1.2407806658101104,-1.2398323952148804,0.5637533696073959,-2.180198879738905,W,L,M,M,M,M,M,M,M,M,-0.811467541354132,-1.697480864568402,-0.23807595834800252,-0.12475657231036107,-0.30339777389595485,-0.15339299776947407,-0.2289527349448127,-0.10783277320343843,-0.2721655269759087,-0.15339299776947407,2.2801615809861318,-1.1719908217657877,2.048223833308593,-1.0384090473090193,2.2001698862335046,3.311616242170263
18,2024-08-30,Lyon,Strasbourg,1.8141555566838763,1.2992774794698825,1,0.4125503632258759,0.4373125441673211,0,-1.4208669299440606,-1.1323866072031579,-1.1085898826682568,-1.3197728232566217,-1.3979642204802138,-1.2306256847747716,-1.0942450306171516,-1.386588066485213,-2.085886190970475,0.22588508985083475,L,W,M,M,M,M,M,M,M,M,-1.6056913974544889,-0.8750009654613112,-0.23807595834800252,-0.12475657231036107,-0.30339777389595485,-0.15339299776947407,-0.2289527349448127,-0.10783277320343843,-0.2721655269759087,-0.15339299776947407,-1.8629575195943004,0.750612561358704,-1.3464696334185329,0.6737072497514653,-1.881400161873682,-2.1286079420521866
19,2024-08-31,Brest,St Etienne,1.8141555566838763,-1.1345365550394908,1,1.636137235975349,-0.8033241300464922,1,-1.351666282674906,-1.4002188722507558,-0.9687435997410382,-1.2491142167191904,-1.249038236175995,-1.3753725544125435,-0.6546381250382755,-1.2398323952148804,-2.085886190970475,-2.180198879738905,L,L,M,M,M,M,M,M,M,M,-1.6056913974544889,-1.697480864568402,-0.23807595834800252,-0.12475657231036107,-0.30339777389595485,-0.15339299776947407,-0.2289527349448127,-0.10783277320343843,-0.2721655269759087,-0.15339299776947407,-2.239604710556158,-1.1719908217657877,-2.704347020109383,-0.6959857878969222,0.03933868429440588,0.04748173163679326
20,2024-08-31,Montpellier,Nantes,-0.426355170261668,1.2992774794698825,2,0.4125503632258759,1.6779492183811342,2,-1.351666282674906,-1.2663027397269568,-0.9687435997410382,-1.4610900363314847,-1.3979642204802138,-1.2306256847747716,-1.0942450306171516,-1.386588066485213,-1.497077399730948,0.22588508985083475,L,W,D,D,M,M,M,M,M,M,-1.3409501120877032,-0.600840999092281,-0.23807595834800252,-0.12475657231036107,-0.30339777389595485,-0.15339299776947407,-0.2289527349448127,-0.10783277320343843,-0.2721655269759087,-0.15339299776947407,-2.239604710556158,0.750612561358704,-1.3464696334185329,0.6737072497514653,-1.40121545033166,-2.1286079420521866
21,2024-08-31,Toulouse,Marseille,-0.426355170261668,1.2992774794698825,2,-0.8110365095235971,1.6779492183811342,2,-1.351666282674906,-0.9315124084174595,-1.3882824485226937,-1.2491142167191904,-1.3979642204802138,-0.7963850758614566,-1.3873163010030691,-1.2398323952148804,-0.9082686084914212,0.22588508985083475,D,D,D,W,M,M,M,M,M,M,-1.0762088267209176,-0.600840999092281,-0.23807595834800252,-0.12475657231036107,-0.30339777389595485,-0.15339299776947407,-0.2289527349448127,-0.10783277320343843,-0.2721655269759087,-0.15339299776947407,0.02027843521498709,1.5196539146085006,0.011407753272317276,2.043400287399853,-0.921030738789638,-1.403244717489193
22,2024-09-01,Monaco,Lens,-0.426355170261668,-0.323265210203033,0,-0.8110365095235971,-0.8033241300464922,0,-1.2132649881365967,-1.1993446734650572,-1.458205589986303,-1.4610900363314847,-1.249038236175995,-0.9411319454992283,-1.3873163010030691,-1.386588066485213,1.446966556466686,1.428927074645705,W,W,W,W,M,M,M,M,M,M,-0.017243685253775332,-0.05252106635422032,-0.23807595834800252,-0.12475657231036107,-0.30339777389595485,-0.15339299776947407,-0.2289527349448127,-0.10783277320343843,-0.2721655269759087,-0.15339299776947407,1.1502200081005596,1.1351332379836023,0.6903464466177424,2.043400287399853,0.03933868429440588,0.04748173163679326
23,2024-09-01,Angers,Nice,-0.426355170261668,2.1105488243063406,2,-0.8110365095235971,1.6779492183811342,2,-1.4208669299440606,-1.2663027397269568,-1.2484361655954752,-1.2491142167191904,-1.3979642204802138,-1.2306256847747716,-1.0942450306171516,-1.2398323952148804,-2.085886190970475,-1.5786778873414704,L,D,L,L,M,M,M,M,M,M,-1.6056913974544889,-1.4233208981993717,-0.23807595834800252,-0.12475657231036107,-0.30339777389595485,-0.15339299776947407,-0.2289527349448127,-0.10783277320343843,-0.2721655269759087,-0.15339299776947407,-1.1096631376705852,-0.4029494685159909,-1.3464696334185329,-0.011139269072728516,-0.44084602724761607,-0.6778814929261999
