,HTP,ATP,HTGD,ATGD,HHGD,AHGD,DiffPts,DiffFormPts
mean,1.1891891891891893,1.2,-0.0666666666666666,-0.0416666666666666,0.0,0.0,0.0,0.0
std,0.5457739938931239,0.5407297261116812,0.7214026055268241,0.7196974692532454,0.37384472996113943,0.37451209723938794,0.6898940953908341,0.4120577113099376
